"Sample"	"TP142"	"TP152"	"TP174"	"TP325"	"TP326"	"TP330"	"TP341"	"TP406"	"TP434"	"TP45"	"TP80B"	
"MOBS32"	"145,145"	"154,154"	"170,170"	"159,159"		"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS33"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"		"308,308"	"216,216"	"163,163"	"368,368"		
"MOBS34"	"145,145"	"154,154"	"170,170"	"159,159"	"226,226"	"342,356"	"308,308"	"213,213"		"368,368"		
"MOBS35"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"	"356,356"	"308,308"	"216,216"		"368,368"	"211,211"	
"MOBS36"	"145,145"		"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"211,211"	
"MOBS37"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"		"368,368"	"211,211"	
"MOBS38"							"308,308"					
"MOBS39"	"145,145"	"154,154"	"170,170"	"153,153"		"356,356"	"308,308"	"213,213"		"368,368"	"211,211"	
"MOBS40"	"145,145"	"154,154"	"170,170"	"153,153"		"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"211,211"	
"MOBS41"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"		"308,308"	"213,213"	"163,163"	"368,368"		
"MOBS42"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"		"308,308"	"213,213"		"368,368"		
"MOBS43"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"		
"MOBS44"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"356,356"	"308,308"	"213,216"	"163,163"	"368,368"		
"MOBS45"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"356,356"	"308,308"	"213,213"		"382,382"		
"MOBS46"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"		"308,308"	"216,216"		"368,368"		
"MOBS47"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"		"308,308"	"213,213"		"382,382"		
"MOBS48"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"		"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS49"	"145,145"			"168,168"			"308,308"	"213,213"		"382,382"		
"MOBS5"	"145,145"	"154,154"	"170,170"		"226,226"		"308,308"	"216,216"	"163,163"	"368,368"		"**combine,wit,new"
"MOBS50"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"	"342,356"	"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS6"		"154,154"		"153,153"	"226,226"		"308,308"	"213,213"	"163,163"	"368,368"		
